semente,turno,braco,veiculos,dist_km,custo_brl,cobertura,pico,acima_tempo
11,noite_1,cw1,3,205.9,500.05,98.73417721518987,64,3
11,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
11,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
11,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
12,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
12,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
12,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
12,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
12,tarde_1,cw1,2,140.39,340.95,92.3076923076923,43,2
12,tarde_1,multi,4,153.92,373.82,48.35164835164835,20,1
12,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
12,tarde_2,multi,3,119.1,289.25,91.66666666666667,19,0
12,noite_1,cw1,3,212.65,516.44,98.73417721518987,64,3
12,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
12,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
12,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
13,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
13,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
13,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
13,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
13,tarde_1,cw1,2,141.89,344.59,92.3076923076923,43,2
13,tarde_1,multi,4,156.42,379.89,48.35164835164835,20,0
13,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
13,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
13,noite_1,cw1,3,211.95,514.74,98.73417721518987,64,3
13,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
13,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
13,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
14,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
14,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
14,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
14,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
14,tarde_1,cw1,2,141.89,344.59,92.3076923076923,43,2
14,tarde_1,multi,4,153.92,373.82,48.35164835164835,20,1
14,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
14,tarde_2,multi,3,119.1,289.25,91.66666666666667,19,0
14,noite_1,cw1,3,212.6,516.32,98.73417721518987,64,3
14,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
14,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
14,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
15,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
15,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
15,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
15,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
15,tarde_1,cw1,2,142.19,345.32,92.3076923076923,43,2
15,tarde_1,multi,4,156.42,379.89,48.35164835164835,20,0
15,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
15,tarde_2,multi,3,119.1,289.25,91.66666666666667,19,0
15,noite_1,cw1,3,211.95,514.74,98.73417721518987,64,3
15,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
15,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
15,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
16,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
16,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
16,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
16,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
16,tarde_1,cw1,2,141.79,344.35,92.3076923076923,43,2
16,tarde_1,multi,3,134.82,327.43,48.35164835164835,20,2
16,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
16,tarde_2,multi,3,119.1,289.25,91.66666666666667,19,0
16,noite_1,cw1,3,214.25,520.33,98.73417721518987,64,3
16,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
16,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
16,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
17,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
17,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
17,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
17,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
17,tarde_1,cw1,2,140.69,341.68,92.3076923076923,43,2
17,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
17,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
17,tarde_2,multi,3,123.9,300.91,91.66666666666667,19,1
17,noite_1,cw1,3,215.05,522.27,98.73417721518987,64,3
17,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
17,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
17,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
18,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
18,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
18,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
18,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
18,tarde_1,cw1,2,141.49,343.62,92.3076923076923,43,2
18,tarde_1,multi,3,135.02,327.91,48.35164835164835,20,2
18,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
18,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
18,noite_1,cw1,3,210.5,511.22,98.73417721518987,64,3
18,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
18,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
18,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
19,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
19,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
19,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
19,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
19,tarde_1,cw1,2,139.99,339.98,92.3076923076923,43,2
19,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
19,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
19,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
19,noite_1,cw1,3,211.75,514.26,98.73417721518987,64,3
19,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
19,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
19,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
20,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
20,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
20,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
20,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
20,tarde_1,cw1,2,139.99,339.98,92.3076923076923,43,2
20,tarde_1,multi,4,155.02,376.49,48.35164835164835,20,2
20,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
20,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
20,noite_1,cw1,3,205.9,500.05,98.73417721518987,64,3
20,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
20,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
20,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
21,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
21,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
21,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
21,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
21,tarde_1,cw1,2,142.99,347.26,92.3076923076923,43,2
21,tarde_1,multi,4,156.42,379.89,48.35164835164835,20,0
21,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
21,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
21,noite_1,cw1,3,205.3,498.59,98.73417721518987,64,3
21,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
21,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
21,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
22,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
22,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
22,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
22,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
22,tarde_1,cw1,2,142.59,346.29,92.3076923076923,43,2
22,tarde_1,multi,4,153.92,373.82,48.35164835164835,20,1
22,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
22,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
22,noite_1,cw1,3,213.7,518.99,98.73417721518987,64,3
22,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
22,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
22,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
23,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
23,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
23,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
23,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
23,tarde_1,cw1,2,139.99,339.98,92.3076923076923,43,2
23,tarde_1,multi,4,155.02,376.49,48.35164835164835,20,2
23,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
23,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
23,noite_1,cw1,3,211.75,514.26,98.73417721518987,64,3
23,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
23,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
23,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
24,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
24,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
24,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
24,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
24,tarde_1,cw1,2,140.39,340.95,92.3076923076923,43,2
24,tarde_1,multi,4,155.02,376.49,48.35164835164835,20,2
24,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
24,tarde_2,multi,3,119.1,289.25,91.66666666666667,19,0
24,noite_1,cw1,3,211.75,514.26,98.73417721518987,64,3
24,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
24,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
24,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
25,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
25,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
25,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
25,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
25,tarde_1,cw1,2,140.39,340.95,92.3076923076923,43,2
25,tarde_1,multi,4,155.02,376.49,48.35164835164835,20,2
25,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
25,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
25,noite_1,cw1,3,211.3,513.16,98.73417721518987,64,3
25,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
25,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
25,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
26,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
26,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
26,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
26,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
26,tarde_1,cw1,2,139.99,339.98,92.3076923076923,43,2
26,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
26,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
26,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
26,noite_1,cw1,3,214.15,520.09,98.73417721518987,64,3
26,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
26,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
26,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
27,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
27,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
27,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
27,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
27,tarde_1,cw1,2,142.19,345.32,92.3076923076923,43,2
27,tarde_1,multi,4,156.42,379.89,48.35164835164835,20,0
27,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
27,tarde_2,multi,3,123.9,300.91,91.66666666666667,19,1
27,noite_1,cw1,3,216.35,525.43,98.73417721518987,64,3
27,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
27,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
27,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
28,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
28,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
28,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
28,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
28,tarde_1,cw1,2,142.19,345.32,92.3076923076923,43,2
28,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
28,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
28,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
28,noite_1,cw1,3,205.2,498.35,98.73417721518987,64,3
28,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
28,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
28,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
29,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
29,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
29,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
29,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
29,tarde_1,cw1,2,141.79,344.35,92.3076923076923,43,2
29,tarde_1,multi,4,155.02,376.49,48.35164835164835,20,2
29,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
29,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
29,noite_1,cw1,3,214.25,520.33,98.73417721518987,64,3
29,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
29,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
29,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
30,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
30,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
30,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
30,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
30,tarde_1,cw1,2,140.69,341.68,92.3076923076923,43,2
30,tarde_1,multi,4,169.4,411.41,48.35164835164835,20,2
30,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
30,tarde_2,multi,3,123.9,300.91,91.66666666666667,19,1
30,noite_1,cw1,3,214.15,520.09,98.73417721518987,64,3
30,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
30,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
30,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
31,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
31,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
31,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
31,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
31,tarde_1,cw1,2,140.69,341.68,92.3076923076923,43,2
31,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
31,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
31,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
31,noite_1,cw1,3,211.3,513.16,98.73417721518987,64,3
31,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
31,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
31,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
32,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
32,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
32,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
32,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
32,tarde_1,cw1,2,140.69,341.68,92.3076923076923,43,2
32,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
32,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
32,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
32,noite_1,cw1,3,207.3,503.45,98.73417721518987,64,3
32,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
32,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
32,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
33,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
33,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
33,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
33,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
33,tarde_1,cw1,2,140.69,341.68,92.3076923076923,43,2
33,tarde_1,multi,4,155.02,376.49,48.35164835164835,20,2
33,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
33,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
33,noite_1,cw1,3,214.15,520.09,98.73417721518987,64,3
33,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
33,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
33,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
34,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
34,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
34,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
34,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
34,tarde_1,cw1,2,141.79,344.35,92.3076923076923,43,2
34,tarde_1,multi,4,169.4,411.41,48.35164835164835,20,2
34,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
34,tarde_2,multi,3,123.9,300.91,91.66666666666667,19,1
34,noite_1,cw1,3,211.95,514.74,98.73417721518987,64,3
34,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
34,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
34,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
35,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
35,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
35,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
35,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
35,tarde_1,cw1,2,142.59,346.29,92.3076923076923,43,2
35,tarde_1,multi,4,153.92,373.82,48.35164835164835,20,1
35,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
35,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
35,noite_1,cw1,3,211.15,512.8,98.73417721518987,64,3
35,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
35,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
35,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
36,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
36,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
36,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
36,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
